year,hello,type,emissions,,,,,,,,,,,,,
1985,559627325,co2_emissions, 559.63 ,,,,,,,,,,,,,
1986,568553975,co2_emissions, 568.55 ,,,,,,,,,,,,,
1987,571667598,co2_emissions, 571.67 ,,,,,,,,,,,,,
1988,570293732,co2_emissions, 570.29 ,,,,,,,,,,,,,
1989,581576100,co2_emissions, 581.58 ,,,,,,,,,,,,,
1990,600343890,co2_emissions, 600.34 ,,,,,,,,,,,,,
1991,608430640,co2_emissions, 608.43 ,,,,,,,,,,,,,
1992,592883834,co2_emissions, 592.88 ,,,,,,,,,,,,,
1993,578635270,co2_emissions, 578.64 ,,,,,,,,,,,,,
1994,574640846,co2_emissions, 574.64 ,,,,,,,,,,,,,
1995,566567960,co2_emissions, 566.57 ,,,,,,,,,,,,,
1996,588187603,co2_emissions, 588.19 ,,,,,,,,,,,,,
1997,562333177,co2_emissions, 562.33 ,,,,,,,,,,,,,
1998,567600126,co2_emissions, 567.60 ,,,,,,,,,,,,,
1999,561108555,co2_emissions, 561.11 ,,,,,,,,,,,,,
2000,567585033,co2_emissions, 567.59 ,,,,,,,,,,,,,
2001,576313538,co2_emissions, 576.31 ,,,,,,,,,,,,,
2002,560066032,co2_emissions, 560.07 ,,,,,,,,,,,,,
2003,571471921,co2_emissions, 571.47 ,,,,,,,,,,,,,
2004,572903657,co2_emissions, 572.90 ,,,,,,,,,,,,,
2005,569962114,co2_emissions, 569.96 ,,,,,,,,,,,,,
2006,567571938,co2_emissions, 567.57 ,,,,,,,,,,,,,
2007,559236418,co2_emissions, 559.24 ,,,,,,,,,,,,,
2008,544498125,co2_emissions, 544.50 ,,,,,,,,,,,,,
2009,493894854,co2_emissions, 493.89 ,,,,,,,,,,,,,
2010,511631630,co2_emissions, 511.63 ,,,,,,,,,,,,,
2011,469453672,co2_emissions, 469.45 ,,,,,,,,,,,,,
2012,487516555,co2_emissions, 487.52 ,,,,,,,,,,,,,
2013,477387488,co2_emissions, 477.39 ,,,,,,,,,,,,,
2014,438540999,co2_emissions, 438.54 ,,,,,,,,,,,,,
2015,422340107,co2_emissions, 422.34 ,,,,,,,,,,,,,
2016,399337394,co2_emissions, 399.34 ,,,,,,,,,,,,,
2017,387565181,co2_emissions, 387.57 ,,,,,,,,,,,,,
2018,381889659,co2_emissions, 381.89 ,,,,,,,,,,,,,
1985,559627325,co2_projection, 559.63 ,,,,,,,,,,,,,
1986,560903838.2,co2_projection, 560.90 ,,,,,,,,,,,,,
1987,562101187.7,co2_projection, 562.10 ,,,,,,,,,,,,,
1988,563209478.2,co2_projection, 563.21 ,,,,,,,,,,,,,
1989,564792750.3,co2_projection, 564.79 ,,,,,,,,,,,,,
1990,566390865.6,co2_projection, 566.39 ,,,,,,,,,,,,,
1991,568381830.3,co2_projection, 568.38 ,,,,,,,,,,,,,
1992,569824587.1,co2_projection, 569.82 ,,,,,,,,,,,,,
1993,571105058.4,co2_projection, 571.11 ,,,,,,,,,,,,,
1994,572571564.2,co2_projection, 572.57 ,,,,,,,,,,,,,
1995,574181554,co2_projection, 574.18 ,,,,,,,,,,,,,
1996,575562959,co2_projection, 575.56 ,,,,,,,,,,,,,
1997,577045297.5,co2_projection, 577.05 ,,,,,,,,,,,,,
1998,578635496.5,co2_projection, 578.64 ,,,,,,,,,,,,,
1999,580708593.4,co2_projection, 580.71 ,,,,,,,,,,,,,
2000,582704505.8,co2_projection, 582.70 ,,,,,,,,,,,,,
2001,584949783.6,co2_projection, 584.95 ,,,,,,,,,,,,,
2002,587450364,co2_projection, 587.45 ,,,,,,,,,,,,,
2003,590132031.2,co2_projection, 590.13 ,,,,,,,,,,,,,
2004,593236234.1,co2_projection, 593.24 ,,,,,,,,,,,,,
2005,597816838.3,co2_projection, 597.82 ,,,,,,,,,,,,,
2006,601911575.8,co2_projection, 601.91 ,,,,,,,,,,,,,
2007,606780137.6,co2_projection, 606.78 ,,,,,,,,,,,,,
2008,611774371.7,co2_projection, 611.77 ,,,,,,,,,,,,,
2009,616095715,co2_projection, 616.10 ,,,,,,,,,,,,,
2010,621033545,co2_projection, 621.03 ,,,,,,,,,,,,,
2011,626234593.9,co2_projection, 626.23 ,,,,,,,,,,,,,
2012,630389693.7,co2_projection, 630.39 ,,,,,,,,,,,,,
2013,634354800.9,co2_projection, 634.35 ,,,,,,,,,,,,,
2014,639214456.8,co2_projection, 639.21 ,,,,,,,,,,,,,
2015,644292802.1,co2_projection, 644.29 ,,,,,,,,,,,,,
2016,649617544.2,co2_projection, 649.62 ,,,,,,,,,,,,,
2017,653497550.5,co2_projection, 653.50 ,,,,,,,,,,,,,
2018,657410211.7,co2_projection, 657.41 ,,,,,,,,,,,,,
1985,559627325,difference, 559.63 ,,,,,,,,,,,,,
1986,560856762.9,difference, 560.86 ,,,,,,,,,,,,,
1987,561895259.2,difference, 561.90 ,,,,,,,,,,,,,
1988,563231237.2,difference, 563.23 ,,,,,,,,,,,,,
1989,565212154.8,difference, 565.21 ,,,,,,,,,,,,,
1990,566570988.8,difference, 566.57 ,,,,,,,,,,,,,
1991,569041277.4,difference, 569.04 ,,,,,,,,,,,,,
1992,570762970.8,difference, 570.76 ,,,,,,,,,,,,,
1993,571677510.6,difference, 571.68 ,,,,,,,,,,,,,
1994,572723636.5,difference, 572.72 ,,,,,,,,,,,,,
1995,573684798,difference, 573.68 ,,,,,,,,,,,,,
1996,576419022.6,difference, 576.42 ,,,,,,,,,,,,,
1997,575837215,difference, 575.84 ,,,,,,,,,,,,,
1998,577753622.9,difference, 577.75 ,,,,,,,,,,,,,
1999,579409068.2,difference, 579.41 ,,,,,,,,,,,,,
2000,582165945.9,difference, 582.17 ,,,,,,,,,,,,,
2001,584583869.1,difference, 584.58 ,,,,,,,,,,,,,
2002,586379038.9,difference, 586.38 ,,,,,,,,,,,,,
2003,589518384.1,difference, 589.52 ,,,,,,,,,,,,,
2004,592781529.8,difference, 592.78 ,,,,,,,,,,,,,
2005,596952968.3,difference, 596.95 ,,,,,,,,,,,,,
2006,601239392.9,difference, 601.24 ,,,,,,,,,,,,,
2007,607147641.8,difference, 607.15 ,,,,,,,,,,,,,
2008,613460778,difference, 613.46 ,,,,,,,,,,,,,
2009,611860433.7,difference, 611.86 ,,,,,,,,,,,,,
2010,619407461.5,difference, 619.41 ,,,,,,,,,,,,,
2011,615702876,difference, 615.70 ,,,,,,,,,,,,,
2012,617367785.3,difference, 617.37 ,,,,,,,,,,,,,
2013,613919270.7,difference, 613.92 ,,,,,,,,,,,,,
2014,606218201.7,difference, 606.22 ,,,,,,,,,,,,,
2015,591515832.8,difference, 591.52 ,,,,,,,,,,,,,
2016,589616476,difference, 589.62 ,,,,,,,,,,,,,
2017,577958512.7,difference, 577.96 ,,,,,,,,,,,,,
2018,572160113,difference, 572.16 ,,,,,,,,,,,,,
